Case,Kitab,Vol,Pg,Term,Reason,Mentioned?,Contrast,Lenience,Jurist For,Jurist Against,Qiyas Win,Salaf,,,,,,,,
285,36,7,376,i,r,e,e,n,,,,,,,,,,,,
286,36,7,399,i,rف,e,e,l,,,,,,,,,,,,
287,36,7,400,k,rj,i,e,l,,,,,,,,,,,,
288,36,7,406,b,ك,i,e,n,,,,,,,,,,,,
289,36,7,415,i,op,i,e,s,,,,,,,,,,,,
290,37,7,445,i,ل,i,e,s,,,,,,,,,,,,
291,37,7,476,k,m,n,e,l,,,,,,,,,,,,
292,37,7,511,i,k,e,e,l,,,,,,,,,,,,
293,40,8,66,i,k,i,e,n,,,,,,,,,,,,
294,40,8,71,v,y,i,e,l,,,,,,,,,,,,
295,40,8,72,i,g,i,i,n,,,,,,,,,,,,
296,40,8,73,i,g,i,i,n,,,,,,,,,,,,
297,40,8,74,i,نz,i,e,n,,,,,,,,,,,,
298,40,8,74,i,نi,i,e,n,,,,,,,,,,,,
299,40,8,74,i,ن,e,e,n,y,,,,,,,,,,,
300,40,8,75,i,نzi,i,e,s,,,,,,,,,,,,
301,40,8,93,e,l,e,n,n,m,,,,,,,,,,,
302,40,8,131,d,k,e,e,n,h,ym,,,,,,,,,,
303,41,8,151,i,kn,e,e,n,,,,,,,,,,,,
304,41,8,182,i,kn,p,e,n,,,,,,,,,,,,
305,41,8,183,i,kn,p,i,n,,,,,,,,,,,,
306,42,8,257,a,x,e,e,n,h,,,,,,,,,,,
307,42,8,282,i,x,e,e,l,hy,m,,,,,,,,,,
308,42,8,283,i,x,i,e,n,,,,,,,,,,,,
309,42,8,286,k,k,e,e,l,ym,h,,,,,,,,,,
310,42,8,301,i,k,i,e,n,,,,,,,,,,,,
311,42,8,302,i,kض,p,e,l,,,,,,,,,,,,
312,42,8,332,i,m,n,i,n,h,ym,,,,,,,,,,
313,42,8,360,i,n,i,i,l,,,,,,,,,,,,
314,42,8,365,i,k,e,e,n,y,hm,,,,,,,,,,
315,42,8,366,i,k,p,e,l,m,h,,,,,,,,,,
316,42,8,369,i,ط,e,e,n,,,,,,,,,,,,
317,42,8,369,i,k,e,e,n,,,,,,,,,,,,
318,42,8,370,i,s,e,e,l,,,,,,,,,,,,
319,42,8,390,a,bk,i,i,n,hym,,,,,,,,,,,
320,42,8,392,k,c,e,i,n,,,,,,,,,,,,
321,42,8,392,i,z,p,e,l,y,hm,,,,,,,,,,
322,42,8,401,i,x,e,i,l,,,,,,,,,,,,
323,42,8,419,i,m,i,i,n,h,,,,,,,,,,,
324,42,8,424,a,x,i,e,l,,,,,,,,,,,,
325,42,8,425,a,x,i,e,l,,,,,,,,,,,,
326,43,8,438,b,@,e,i,l,,,,,,,,,,,,
327,43,8,441,i,n,e,i,l,,,,,,,,,,,,
328,44,8,451,i,t,i,e,l,,,,,,,,,,,,
329,44,8,453,i,d,i,i,s,,,,,,,,,,,,
330,44,8,455,i,c,i,e,l,,,,,,,,,,,,
331,45,8,469,k,h,e,e,n,,,,s3,,,,,,,,
332,,8,475,e,ع,e,e,l,,,,,,,,,,,,
333,46,8,499,h,x,i,e,n,hym,,,,,,,,,,,
334,46,8,523,c,a,i,e,s,hym,,,,,,,,,,,
335,46,8,532,i,k,e,e,n,,,,,,,,,,,,
336,46,8,539,i,l,e,n,n,,,,,,,,,,,,
337,46,8,559,k,qk,e,e,n,,,,,,,,,,,,
338,46,8,565,k,#,i,e,l,,,,,,,,,,,,
339,46,8,578,j,m,n,e,n,h,ym,,,,,,,,,,
340,46,9,12,a,#,p,e,n,,,,,,,,,,,,
341,46,9,112,k,m,n,e,l,,,,,,,,,,,,
342,46,9,113,k,k,e,e,n,ym,,,,,,,,,,,
343,46,9,137,i,k,p,e,n,,,,,,,,,,,,
344,46,9,159,i,m,n,e,n,,,,,,,,,,,,
345,46,9,159,i,k,i,e,n,,,,,,,,,,,,
346,46,9,168,a,ب,i,e,l,,,,,,,,,,,,
347,46,9,169,e,ب,i,e,l,,,,,,,,,,,,
348,47,9,250,i,d,i,e,n,,,,,,,,,,,,
349,47,9,285,w,و,e,e,s,hm,y,,,,,,,,,,
350,47,9,288,i,m,n,e,n,,,,,,,,,,,,
351,47,9,289,,ه,e,e,s,,,,,,,,,,,,
352,47,9,301,i,d,i,e,s,,,,,,,,,,,,
353,47,9,304,k,ه,e,e,s,,,,,,,,,,,,
354,47,9,304,,k,i,e,n,,,,,,,,,,,,
355,47,9,306,i,ص,i,e,l,,,,,,,,,,,,
356,47,9,309,av,m,n,e,n,,,,,,,,,,,,
357,47,9,310,i,m,n,e,n,,,,,,,,,,,,
358,50,9,354,i,#n,e,i,n,,,,,,,,,,,,
359,51,9,367,i,l,e,n,n,,,,,,,,,,,,
360,51,9,373,i,k,i,e,n,,,,,,,,,,,,
361,51,9,379,i,ك,i,e,n,,,,,,,,,,,,
362,53,9,413,i,f,i,i,l,,,,,,,,,,,,
363,53,9,502,c,m,n,e,l,h,m,,,,,,,,,,
364,53,9,502,i,%,e,e,l,m,,,,,,,,,,,
365,54,9,512,i,ن,i,e,n,,,,,,,,,,,,
366,54,9,512,i,ن,i,e,n,,,,,,,,,,,,
367,55,9,531,i,x,i,e,l,,,,,,,,,,,,
368,55,9,563,e,d,i,e,n,,,,,,,,,,,,
369,55,9,573,k,d,i,e,n,,,,,,,,,,,,
370,55,10,36,b,ذ,i,e,l,,,,,,,,,,,,
371,55,10,36,a,ذ,i,e,l,,,,,,,,,,,,
372,55,10,40,i,f,i,e,n,,,,,,,,,,,,
373,55,10,41,a,x,i,e,n,,,,,,,,,,,,
374,55,10,62,i,x,i,e,l,,,,,,,,,,,,
375,55,10,89,b,m,n,e,n,h,y,,,,,,,,,,
376,55,10,91,i,m,n,e,n,h,,,,,,,,,,,
377,55,10,103,i,f,i,e,n,,,,,,,,,,,,
378,55,10,104,i,f,i,i,n,,,,,,,,,,,,
379,55,10,126,a,l,i,n,n,,,,,,,,,,,,
380,55,10,128,a,k,i,e,n,,,,,,,,,,,,
381,55,10,129,i,#,i,e,n,,,,,,,,,,,,
382,55,10,132,i,k,e,e,l,,,,,,,,,,,,
383,55,10,135,i,u,i,i,l,,,,,,,,,,,,
384,55,10,151,i,f,i,e,n,,,,,,,,,,,,
385,55,10,151,i,^,i,e,n,,,,,,,,,,,,
386,56,10,190,i,h,e,i,n,,m,,,,,,,,,,
387,56,10,193,w,ك,i,e,n,,,,,,,,,,,,
388,56,10,203,i,ك,i,e,l,,,,,,,,,,,,
389,56,10,226,a,cx,e,e,l,,,,,,,,,,,,
390,56,10,228,i,m,n,i,n,h,ym,,,,,,,,,,
391,56,10,254,p,p,i,e,s,,,,,,,,,,,,
392,56,10,276,i,&,i,i,n,h,,,,,,,,,,,
393,56,10,288,v,(,i,e,l,,,,,,,,,,,,
394,56,10,289,b,q,i,e,l,,,y,,,,,,,,,
395,56,10,341,c,ك,i,i,l,h,ym,,,,,,,,,,
396,56,10,344,cd,ك,i,e,s,h,,,,,,,,,,,
397,56,10,348,i,k,i,e,n,y,m,,,,,,,,,,
398,57,10,374,i,n,i,i,l,h,,,,,,,,,,,
399,57,10,407,a,م ,i,e,s,,,,,,,,,,,,
400,57,10,409,k,,,e,,,,,,,,,,,,,
401,57,10,526,v,h,e,i,l,,,,p,,,,,,,,
402,58,10,597,p,,i,i,n,h,,,,,,,,,,,
403,58,11,6,i,u,i,i,l,,,,,,,,,,,,
404,58,11,6,v,uk,p,i,l,,,,,,,,,,,,
405,58,11,31,i,ظr,e,i,l,h,,,,,,,,,,,
406,58,11,55,i,u,i,e,l,,,,,,,,,,,,
407,58,11,83,i,k,i,e,n,,,,,,,,,,,,
408,58,11,98,w,^,i,e,s,,,,,,,,,,,,
409,58,11,166,i,k#,i,i,l,,,,,,,,,,,,
410,58,11,189,i,x,i,i,l,,,,,,,,,,,,
411,58,11,198,i,ض,e,e,l,,,,,,,,,,,,
412,58,11,198,i,t#,p,e,n,,,,,,,,,,,,
413,59,11,226,i,k,i,e,s,,,,,,,,,,,,
414,59,11,246,i,n,i,i,l,hm,,,,,,,,,,,
415,59,11,246,w,ص,i,i,l,,,,,,,,,,,,
416,59,11,247,i,ص,i,e,l,,,,,,,,,,,,
417,59,11,260,i,),e,i,n,,,,,,,,,,,,
418,59,11,262,i,nص,e,i,l,,,,,,,,,,,,
419,59,11,277,i,,,e,,,,,,,,,,,,,
420,59,11,282,i,k,e,e,s,,,,,,,,,,,,
421,59,11,282,x,x,i,e,l,,,,,,,,,,,,
422,59,11,283,b,q,e,e,n,h,ym,,,,,,,,,,
423,59,11,283,i,k,i,e,n,y,m,,,,,,,,,,
424,59,11,284,i,k,i,i,l,,,,,,,,,,,,
425,59,11,289,i,+,i,e,n,,,,,,,,,,,,
